                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.3419,                 1.3527,                 1.1494,                0.67715,                0.87909,                0.94143,                0.74025,                0.84641,                 1.5014,                0.90718,               0.007228,               0.007228,               0.007228
                     86,                 1.2607,                 1.2826,                 1.1157,                 0.6611,                0.88343,                0.95333,                0.72157,                  0.797,                 1.5816,                 0.9021,               0.007195,               0.007195,               0.007195
                     87,                  1.295,                 1.2907,                 1.1343,                0.68858,                0.90725,                  0.945,                0.72096,                0.80894,                 1.3672,                0.90561,               0.007162,               0.007162,               0.007162
                     88,                 1.3817,                 1.2836,                 1.1895,                0.68858,                0.90725,                  0.945,                0.72096,                0.80894,                 1.3672,                0.90561,               0.007129,               0.007129,               0.007129
                     89,                 1.3921,                 1.3026,                 1.1596,                 0.8007,                0.97083,                   0.97,                0.82044,                0.66925,                 1.1005,                0.87286,               0.007096,               0.007096,               0.007096
                     90,                 1.1648,                 1.1845,                 1.0844,                0.96151,                      1,                  0.995,                0.81078,                0.76896,                0.89585,                0.92361,               0.007063,               0.007063,               0.007063
                     91,                 1.2156,                 1.1883,                 1.0983,                0.75527,                0.96847,                  0.995,                0.84322,                0.67508,                0.96757,                0.88374,                0.00703,                0.00703,                0.00703
                     92,                 1.2908,                 1.1592,                 1.1456,                0.75527,                0.96847,                  0.995,                0.84322,                0.67508,                0.96757,                0.88374,               0.006997,               0.006997,               0.006997
                     93,                 1.1878,                 1.1507,                 1.1112,                 0.8745,                0.88535,                  0.995,                0.80612,                0.73358,                 1.0314,                0.93718,               0.006964,               0.006964,               0.006964
                     94,                  1.403,                  1.331,                 1.2192,                0.98456,                      1,                  0.995,                0.87593,                0.52963,                0.79131,                0.84934,               0.006931,               0.006931,               0.006931
                     95,                 1.1756,                 1.2205,                 1.1079,                0.98476,                      1,                  0.995,                 0.7677,                0.80406,                0.78258,                0.95306,               0.006898,               0.006898,               0.006898
                     96,                 1.1887,                 1.1553,                  1.115,                0.98476,                      1,                  0.995,                 0.7677,                0.80406,                0.78258,                0.95306,               0.006865,               0.006865,               0.006865
                     97,                 1.2801,                 1.2622,                 1.1368,                 0.9792,                0.99656,                  0.995,                0.82589,                0.60395,                0.81367,                0.87838,               0.006832,               0.006832,               0.006832
                     98,                  1.254,                 1.2003,                 1.1392,                0.95755,                0.99158,                  0.995,                 0.8337,                0.63369,                0.77585,                0.86778,               0.006799,               0.006799,               0.006799
                     99,                 1.2983,                 1.1971,                 1.1355,                0.95254,                      1,                  0.995,                0.82882,                0.64866,                0.75357,                0.87759,               0.006766,               0.006766,               0.006766
                    100,                 1.1796,                 1.1991,                 1.1293,                0.95254,                      1,                  0.995,                0.82882,                0.64866,                0.75357,                0.87759,               0.006733,               0.006733,               0.006733
                    101,                 1.2658,                 1.1277,                  1.109,                0.97597,                0.98628,                  0.995,                0.78624,                0.77609,                0.83128,                0.90238,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.2493,                 1.1474,                 1.1332,                0.98881,                      1,                  0.995,                0.73867,                0.94854,                 0.9542,                0.95018,               0.006667,               0.006667,               0.006667
                    103,                 1.3029,                 1.1892,                 1.1533,                0.99161,                      1,                  0.995,                0.80345,                0.86897,                0.91569,                0.94346,               0.006634,               0.006634,               0.006634
                    104,                 1.1795,                 1.1589,                 1.1173,                0.99161,                      1,                  0.995,                0.80345,                0.86897,                0.91569,                0.94346,               0.006601,               0.006601,               0.006601
                    105,                 1.3711,                 1.2373,                 1.1687,                0.96948,                 0.9996,                  0.995,                0.79968,                0.79887,                0.88971,                0.93119,               0.006568,               0.006568,               0.006568
